"id_bs1km","x","y","depth.mean","wave_bekkby.mean","id_copernicus_phy_bgc"
1,4985500,4819500,6.23131484189798e-07,976.073333333333,584253
2,4986500,4819500,6.23131484189798e-07,976.073333333333,584253
3,4987500,4819500,6.23131484189798e-07,976.073333333333,584253
4,4984500,4818500,6.23131484189798e-07,976.073333333333,584253
5,4985500,4818500,6.23131484189798e-07,976.073333333333,584253
6,4986500,4818500,6.23131484189798e-07,976.073333333333,584253
7,4987500,4818500,6.23131484189798e-07,976.073333333333,584253
8,4988500,4818500,6.23131484189798e-07,976.073333333333,584253
9,4965500,4817500,2.16835047694985e-07,29720.85625,587292
10,4966500,4817500,2.16835047694985e-07,29720.85625,587292
11,4967500,4817500,2.16835047694985e-07,29720.85625,587292
12,4968500,4817500,3.19999861717224,12082.9025,587292
13,4984500,4817500,6.23131484189798e-07,976.073333333333,584253
14,4985500,4817500,6.23131484189798e-07,976.073333333333,584253
15,4986500,4817500,6.23131484189798e-07,976.073333333333,584253
16,4987500,4817500,6.23131484189798e-07,976.073333333333,584253
17,4988500,4817500,6.23131484189798e-07,976.073333333333,584253
18,4965500,4816500,2.16835047694985e-07,29720.85625,587292
19,4966500,4816500,2.16835047694985e-07,29720.85625,587292
20,4967500,4816500,2.16835047694985e-07,29720.85625,587292
21,4968500,4816500,3.19999861717224,12082.9025,587292
22,4984500,4816500,6.23131484189798e-07,976.073333333333,584253
23,4985500,4816500,6.23131484189798e-07,976.073333333333,584253
24,4986500,4816500,6.23131484189798e-07,976.073333333333,584253
25,4987500,4816500,6.23131484189798e-07,976.073333333333,584253
26,4988500,4816500,6.23131484189798e-07,976.073333333333,584253
27,4965500,4815500,2.16835047694985e-07,29720.85625,587292
28,4966500,4815500,2.16835047694985e-07,29720.85625,587292
29,4967500,4815500,2.16835047694985e-07,29720.85625,587292
30,4968500,4815500,3.19999861717224,12082.9025,587292
31,4970500,4815500,3.19999861717224,12082.9025,587292
32,4971500,4815500,3.19999861717224,12082.9025,586533
33,4972500,4815500,3.19999861717224,12082.9025,586533
34,4984500,4815500,6.23131484189798e-07,976.073333333333,584253
35,4985500,4815500,6.23131484189798e-07,976.073333333333,584253
36,4986500,4815500,6.23131484189798e-07,976.073333333333,584253
37,4987500,4815500,6.23131484189798e-07,976.073333333333,584253
38,4988500,4815500,6.23131484189798e-07,976.073333333333,584253
39,4965500,4814500,2.16835047694985e-07,29720.85625,587292
40,4966500,4814500,2.16835047694985e-07,29720.85625,587292
41,4967500,4814500,2.16835047694985e-07,29720.85625,587292
42,4968500,4814500,2.16835047694985e-07,29720.85625,587292
43,4969500,4814500,3.19999861717224,12082.9025,587292
44,4970500,4814500,3.19999861717224,12082.9025,586532
45,4971500,4814500,3.19999861717224,12082.9025,586532
46,4972500,4814500,3.19999861717224,12082.9025,586533
47,4973500,4814500,3.19999861717224,11635.8608333333,586533
48,4984500,4814500,6.23131484189798e-07,976.073333333333,584253
49,4985500,4814500,6.23131484189798e-07,976.073333333333,584253
50,4986500,4814500,6.23131484189798e-07,976.073333333333,584253
51,4987500,4814500,6.23131484189798e-07,976.073333333333,584253
52,4988500,4814500,6.23131484189798e-07,976.073333333333,584253
53,4965500,4813500,2.16835047694985e-07,29720.85625,587292
54,4966500,4813500,2.16835047694985e-07,29720.85625,587292
55,4967500,4813500,2.16835047694985e-07,29720.85625,587292
56,4968500,4813500,2.16835047694985e-07,29720.85625,587292
57,4969500,4813500,3.19999861717224,12082.9025,587292
58,4970500,4813500,3.19999861717224,12082.9025,586532
59,4971500,4813500,3.19999861717224,12082.9025,586532
60,4972500,4813500,3.19999861717224,12082.9025,586533
61,4973500,4813500,3.19999861717224,11635.8608333333,586533
62,4974500,4813500,3.07499802112579,11635.8608333333,586533
63,4975500,4813500,2.24999980038541,27176.82625,586533
64,4984500,4813500,6.23131484189798e-07,976.073333333333,584253
65,4985500,4813500,6.23131484189798e-07,976.073333333333,584253
66,4986500,4813500,6.23131484189798e-07,976.073333333333,584253
67,4987500,4813500,6.23131484189798e-07,976.073333333333,584253
68,4988500,4813500,6.23131484189798e-07,976.073333333333,584253
69,4961500,4812500,3.19999766349792,37366.1216666667,586525
70,4962500,4812500,3.19999766349792,37366.1216666667,586525
71,4963500,4812500,1.85000199079514,42366.114375,586526
72,4964500,4812500,2.16835047694985e-07,29720.85625,586526
73,4965500,4812500,2.16835047694985e-07,29720.85625,587292
74,4966500,4812500,2.16835047694985e-07,29720.85625,587292
75,4967500,4812500,2.16835047694985e-07,29720.85625,587292
76,4968500,4812500,2.16835047694985e-07,29720.85625,587292
77,4969500,4812500,3.19999861717224,12082.9025,587292
78,4970500,4812500,3.19999861717224,12082.9025,586532
79,4971500,4812500,3.19999861717224,12082.9025,586532
80,4972500,4812500,3.19999861717224,12082.9025,586533
81,4973500,4812500,3.19999861717224,11635.8608333333,586533
82,4974500,4812500,3.07499802112579,11635.8608333333,586533
83,4975500,4812500,2.24999980038541,27176.82625,585772
84,4976500,4812500,2.02500003576279,40367.296875,585772
85,4981500,4812500,1.13136965074201e-10,5009.01538461539,585012
86,4982500,4812500,1.13136965074201e-10,5009.01538461539,585012
87,4983500,4812500,1.13136965074201e-10,5009.01538461539,584253
88,4984500,4812500,6.23131484189798e-07,976.073333333333,584253
89,4985500,4812500,6.23131484189798e-07,976.073333333333,584253
90,4986500,4812500,6.23131484189798e-07,976.073333333333,584253
91,4987500,4812500,6.23131484189798e-07,976.073333333333,584253
92,4988500,4812500,6.23131484189798e-07,976.073333333333,584253
93,4961500,4811500,3.19999766349792,37366.1216666667,586525
94,4962500,4811500,3.19999766349792,37366.1216666667,586525
95,4963500,4811500,1.85000199079514,42366.114375,586526
96,4964500,4811500,2.16835047694985e-07,29720.85625,586526
97,4965500,4811500,2.16835047694985e-07,29720.85625,586528
98,4966500,4811500,2.16835047694985e-07,29720.85625,587292
99,4967500,4811500,2.16835047694985e-07,29720.85625,587292
100,4968500,4811500,2.16835047694985e-07,29720.85625,587292
